precinct,district,parish
09/41B,3,Orleans
09/41C,3,Orleans
09/41D,3,Orleans
09/44G,3,Orleans
09/44I,3,Orleans
09/44M,3,Orleans
09/44N,3,Orleans
09/44O,3,Orleans
09/44P,3,Orleans
09/44Q,3,Orleans
00/10,3,St. Bernard
00/11,3,St. Bernard
00/12,3,St. Bernard
00/13,3,St. Bernard
00/14,3,St. Bernard
00/15,3,St. Bernard
00/20,3,St. Bernard
00/21,3,St. Bernard
00/22,3,St. Bernard
00/23,3,St. Bernard
00/24,3,St. Bernard
00/25,3,St. Bernard
00/30,3,St. Bernard
00/31,3,St. Bernard
00/32,3,St. Bernard
00/34,3,St. Bernard
00/40,3,St. Bernard
00/42,3,St. Bernard
00/42A,3,St. Bernard
00/44,3,St. Bernard
00/45,3,St. Bernard
00/46,3,St. Bernard
00/50,3,St. Bernard
03/09,4,Orleans
03/12,4,Orleans
03/14,4,Orleans
03/15,4,Orleans
03/19,4,Orleans
03/20,4,Orleans
04/02,4,Orleans
04/06,4,Orleans
04/07,4,Orleans
04/08,4,Orleans
04/09,4,Orleans
04/11,4,Orleans
04/14,4,Orleans
04/15,4,Orleans
04/17,4,Orleans
04/17A,4,Orleans
04/18,4,Orleans
04/20,4,Orleans
04/21,4,Orleans
04/22,4,Orleans
04/23,4,Orleans
05/01,4,Orleans
05/02,4,Orleans
05/03,4,Orleans
05/08,4,Orleans
05/09,4,Orleans
05/10,4,Orleans
05/11,4,Orleans
05/12,4,Orleans
05/13,4,Orleans
05/15,4,Orleans
05/16,4,Orleans
05/17,4,Orleans
05/18,4,Orleans
06/04,4,Orleans
06/08,4,Orleans
06/09,4,Orleans
07/02,4,Orleans
07/05,4,Orleans
07/07,4,Orleans
07/08,4,Orleans
07/09A,4,Orleans
